product_id,category,product_title,brand,model,features,price,rating,review_count,image_url,inch
B0DL6YSGZ4,mouse,apple magic mouse - white multi-touch surface - usb-c ,apple,magic mouse,"brand apple manufacturer apple, apple series magic mouse colour white item height 0.1 centimeters item width 7.4 centimeters product dimensions 13 x 7.4 x 0.1 cm; 238 g batteries 1 lithium ion batteries required. (included) item model number mxk53zm/a are batteries included yes lithium battery energy content 7.07 watt hours number of lithium ion cells 1 manufacturer apple country of origin china item weight 238 g",7500,3.5,46,https://m.media-amazon.com/images/I/21P-5RKWVNL._SX300_SY300_QL70_ML2_.jpg,0
B0CSLDFS57,mouse,"apple magic mouse (for bluetooth-enabled mac with os x 10.11 or later, ipad with ipados 13.4 or later)",apple,magic mouse,"brand apple manufacturer apple, apple inc, one apple park way, cupertino, ca 95014, usa. or apple india private limited no.24, 19th floor, concorde tower c, ub city, vittal mallya road, bangalore - 560 001 series magic mouse colour white item height 0.1 centimeters item width 7.4 centimeters product dimensions 13 x 7.4 x 0.1 cm; 99 g batteries 1 lithium ion batteries required. (included) item model number mk2e3hn/a power source battery powered operating system mac average battery life (in hours) 1 months are batteries included yes lithium battery energy content 7.07 watt hours lithium battery weight 0.19 grams number of lithium ion cells 15 number of lithium metal cells 1 included components apple magic mouse manufacturer apple country of origin china item weight 99 g",6799,4.5,1166,https://m.media-amazon.com/images/I/211GvbN9BYL._SX300_SY300_QL70_ML2_.jpg,0
B0DL74RTZN,mouse,apple magic mouse - black multi-touch surface  - usb-c,apple,magic mouse,manufacturer apple country of origin china item model number mxk63zm/a product dimensions 13 x 7.4 x 0.1 cm; 238 g asin b0dl74rtzn,9500,4.8,16,https://m.media-amazon.com/images/I/21T-vFtbMTL._SY445_SX342_QL70_ML2_.jpg,0
B0CQJTBRJW,mouse,"offbeat - atom dual bluetooth 5.1+5.1 & 2.4ghz wireless, type-c rechargeable silent click mouse, triple device connectivity windows, mac, ios, android",offbeat,atom white,"brand offbeat manufacturer offbeat, 7880121231 model atom white model name atom white product dimensions 11 x 6 x 0.1 cm; 110 g batteries 1 lithium polymer batteries required. (included) item model number atom white operating system linux, windows, ios, android hardware platform pc compatible devices laptop, smart tv, ipad, tablet, mobile, macbook special features rechargeable number of items 4 power source usb battery average life 12 months batteries included yes batteries required yes battery cell composition lithium polymer connector type bluetooth movement detection technology optical hand orientation ambidextrous manufacturer offbeat item weight 110 g",1490,4.1,602,https://m.media-amazon.com/images/I/21yhfE+DeyL._SX300_SY300_.jpg,0
B0CJ6QCLGY,mouse,"amazon basics rechargeable wireless mouse with rgb led backlit 1600 dpi ergonomic mouse for laptop, pc",amazon basics,universal,"brand amazon basics manufacturer dongguan archer technology limited, dongguan archer technology limited building 25, no . 77, shilong road, guancheng street, dongguan city, guangdong province colour white item height 10 centimeters item width 50 millimeters product dimensions 15 x 5 x 10 cm; 65 g batteries 1 lithium ion batteries required. (included) power source battery powered hardware platform laptop operating system linux, windows xp, windows 7 are batteries included yes lithium battery energy content 2.6 watt hours number of lithium ion cells 7 number of lithium metal cells 7 manufacturer dongguan archer technology limited country of origin china item weight 65 g",549,3.8,1416,https://m.media-amazon.com/images/I/31+ZBc9nRhL._SY300_SX300_.jpg,0
B071YZJ1G1,mouse,"logitech mx master 2s bluetooth edition wireless mouse, multi-surface, hyper-fast scrolling, ergonomic, rechargeable, connects up to 3 mac/pc computers",logitech,mx master 2s bluetooth edition,"brand logitech manufacturer logitech, logitech asia pacific ltd, unit no. 1003, tower 1, cheung sha wan plaza, cheung sha wan road, kowloon, hong kong. model 2017 model model name mx master 2s bluetooth edition model year 2018 product dimensions 4.83 x 8.56 x 12.45 cm; 145 g batteries 1 cr123a batteries required. (included) item model number 2017 model operating system mac,windows hardware platform laptop/pc/mac/ipad hardware interface bluetooth compatible devices laptop, personal computer special features wireless , rechargeable , lightweight mounting hardware mouse, receiver, user guide number of items 1 colour screen no aspect ratio unknown power source battery powered,corded electric battery average life 70 days batteries included yes batteries required yes battery cell composition lithium polymer wireless type bluetooth connector type wireless movement detection technology darkfield high precision material glass hand orientation right does it contain liquid? no has auto focus no includes rechargeable battery no programmable buttons no manufacturer logitech country of origin china item weight 145 g",4995,4.3,14948,https://m.media-amazon.com/images/I/31vy6WmdMWL._SX300_SY300_QL70_ML2_.jpg,0
B0BRJ7QX33,laptop bags,"dyazo 15"" to 15.6 inch laptop sleeve/cover with handle & two front accessories pockets compatible for apple, dell, lenovo, asus, hp, samsung, mi, macbook and other notbooks (grey)",dyazo,unknown brand,"brand dyazo manufacturer dyazo, dyazo f 15 ground floor okhala phase 1 new delhi 110020 customer care 7270000727 colour grey form factor sleeve item height 27 centimeters item width 3.8 centimeters product dimensions 36 x 3.8 x 27 cm; 135 g are batteries included no included components laptop sleeve manufacturer dyazo country of origin china item weight 135 g",299,4.2,653,https://m.media-amazon.com/images/I/41n6NLjSS7L._SX300_SY300_QL70_ML2_.jpg,15.6
B09BFV96TS,laptop bags,"dyazo water resistant laptop sleeve with handle compatible for 15 inch to 15.6"" inches laptops & notebooks - grey",dyazo,dz 471,"brand dyazo manufacturer dyazo, alliance trade links 38 2nd floor dsidc okhala phase 1 new delhi 110048 model dz 471 model name dz 471 product dimensions 30 x 3 x 39 cm; 190 g item model number dz 471 compatible devices laptops special features laptop compartment, cell phone holder, water resistant mounting hardware laptop sleeve number of items 1 standing screen display size 15.6 inches batteries included no batteries required no material oxford fabric form factor sleeve device type pouch manufacturer dyazo country of origin china item weight 190 g",299,4.3,12377,https://m.media-amazon.com/images/I/4154nCPCBaL._SX300_SY300_QL70_ML2_.jpg,15.6
B091NY46Z3,laptop bags,kbbrd bennett khadi + polyester drax laptops bag sleeve case cover pouch for 15.6 inches 39cm laptop apple/dell/lenovo/asus/hp/samsung/mi/macbook/ultrabook/thinkpad/idea pad/surfacepro (grey),kbbrd,drax,"brand kbbrd manufacturer texcoco enterprises, texcoco enterprices, 9958166528 series drax sleeve colour grey form factor cover item height 20 millimeters item width 39 centimeters standing screen display size 15.6 inches product dimensions 29 x 39 x 2 cm; 479 g item model number drax are batteries included no included components laptop sleeve manufacturer texcoco enterprises country of origin india item weight 479 g",299,4.1,6590,https://m.media-amazon.com/images/I/41TtI0esokL._SX300_SY300_QL70_ML2_.jpg,15.6
B0BPD9T6Y8,laptop bags,"proelite polyester sleeve case cover 13"" to 14"" for samsung galaxy tab s9/s8 ultra 14.6 inch, 13-13.3 inch notebook, compatible with macbook air/pro 14 inch a2442, ipad pro 12.9, dark grey",proelite,polysterpusleeve11.5,"brand proelite manufacturer proelite, 9716083089 colour dark grey form factor sleeve item height 2 centimeters item width 14.5 centimeters product dimensions 21.5 x 14.5 x 2 cm; 150 g item model number polysterpusleeve11.5 are batteries included no included components tablet sleeve manufacturer proelite country of origin china item weight 150 g",698,4.4,151,https://m.media-amazon.com/images/I/41IRInmbBnL._SX300_SY300_QL70_ML2_.jpg,13.3
B09X9XHWVL,laptop bags,"kbbrd bennett nylon drax laptops, tablets laptop bag sleeve case cover pouch for 14 inches laptop apple/dell/lenovo/asus/hp/samsung/mi/macbook/ultrabook/thinkpad/ideapad/surfacepro grey (drax sleeve)",kbbrd,drax sleeve,"brand kbbrd manufacturer tabelito trade india, texcoco enterprices, 9958166528 series drax sleeve colour grey form factor sleeve item height 20 millimeters item width 37 centimeters standing screen display size 14 inches product dimensions 27 x 37 x 2 cm; 399 g item model number drax sleeve are batteries included no included components laptop sleeve manufacturer tabelito trade india country of origin india item weight 399 g",299,4.1,6590,https://m.media-amazon.com/images/I/41hoaxBOVdL._SX300_SY300_QL70_ML2_.jpg,14
B09S2655QT,laptop bags,tabelito polyester hybrid laptop bag sleeve case cover pouch for 14 inch(35cm) laptop apple/dell/lenovo/asus/hp/samsung/mi/macbook/ultrabook/thinkpad/ideapad/surfacepro (blue),tabelito,hybrid sleeve,"brand tabelito manufacturer tabelito trade india, 9958166528 series hybrid sleeve colour blue form factor sleeve item height 20 millimeters item width 38 centimeters standing screen display size 14 inches product dimensions 28 x 38 x 2 cm; 399 g item model number hybrid sleeve are batteries included no included components laptop sleeve manufacturer tabelito trade india country of origin india item weight 399 g",299,4.1,5727,https://m.media-amazon.com/images/I/41YVBuunQsL._SX300_SY300_QL70_ML2_.jpg,14
